,Acceleration,Age,Aggression,Agility,Attacking_Position,Balance,Ball_Control,Birth_Date,Club,Club_Joining,Club_Kit,Club_Position,Composure,Contract_Expiry,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Height,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Name,National_Kit,National_Position,Nationality,Penalties,Preffered_Foot,Preffered_Position,Rating,Reactions,Short_Pass,Shot_Power,Skill_Moves,Sliding_Tackle,Speed,Stamina,Standing_Tackle,Strength,Vision,Volleys,Weak_foot,Weight,Work_Rate
5060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TunisiaTunisia,,,,,,,,,,,,,,,,,,
5061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
5062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
5063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LibyaLibya,,,,,,,,,,,,,,,,,,
5064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South AfricaSouth Africa,,,,,,,,,,,,,,,,,,
5067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CuracaoCuracao,,,,,,,,,,,,,,,,,,
5068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern IrelandNorthern Ireland,,,,,,,,,,,,,,,,,,
5069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NigeriaNigeria,,,,,,,,,,,,,,,,,,
5070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GuineaGuinea,,,,,,,,,,,,,,,,,,
5071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republic of IrelandRepublic of Ireland,,,,,,,,,,,,,,,,,,
5072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MoroccoMorocco,,,,,,,,,,,,,,,,,,
5073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulgariaBulgaria,,,,,,,,,,,,,,,,,,
5074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
5075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea RepublicKorea Republic,,,,,,,,,,,,,,,,,,
5077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea RepublicKorea Republic,,,,,,,,,,,,,,,,,,
5078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FYR MacedoniaFYR Macedonia,,,,,,,,,,,,,,,,,,
5079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
5080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RomaniaRomania,,,,,,,,,,,,,,,,,,
5081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GabonGabon,,,,,,,,,,,,,,,,,,
5082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustraliaAustralia,,,,,,,,,,,,,,,,,,
5083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republic of IrelandRepublic of Ireland,,,,,,,,,,,,,,,,,,
5084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
5085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
5086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
5087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GreeceGreece,,,,,,,,,,,,,,,,,,
5088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GeorgiaGeorgia,,,,,,,,,,,,,,,,,,
5089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
5090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
5091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GhanaGhana,,,,,,,,,,,,,,,,,,
5092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea RepublicKorea Republic,,,,,,,,,,,,,,,,,,
5093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
5094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United StatesUnited States,,,,,,,,,,,,,,,,,,
5095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
5096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
5097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
5098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
5099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NorwayNorway,,,,,,,,,,,,,,,,,,
5101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
5102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
5103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HungaryHungary,,,,,,,,,,,,,,,,,,
5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UkraineUkraine,,,,,,,,,,,,,,,,,,
5105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republic of IrelandRepublic of Ireland,,,,,,,,,,,,,,,,,,
5106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScotlandScotland,,,,,,,,,,,,,,,,,,
5108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern IrelandNorthern Ireland,,,,,,,,,,,,,,,,,,
5109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SlovakiaSlovakia,,,,,,,,,,,,,,,,,,
5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PolandPoland,,,,,,,,,,,,,,,,,,
5111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GhanaGhana,,,,,,,,,,,,,,,,,,
5112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurkeyTurkey,,,,,,,,,,,,,,,,,,
5116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RussiaRussia,,,,,,,,,,,,,,,,,,
5118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PolandPoland,,,,,,,,,,,,,,,,,,
5119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MoroccoMorocco,,,,,,,,,,,,,,,,,,
5121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DenmarkDenmark,,,,,,,,,,,,,,,,,,
5122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CuracaoCuracao,,,,,,,,,,,,,,,,,,
5123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
5124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
5125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
5126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PolandPoland,,,,,,,,,,,,,,,,,,
5127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PolandPoland,,,,,,,,,,,,,,,,,,
5129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NigeriaNigeria,,,,,,,,,,,,,,,,,,
5130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MexicoMexico,,,,,,,,,,,,,,,,,,
5131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
5132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape VerdeCape Verde,,,,,,,,,,,,,,,,,,
5133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
5136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GreeceGreece,,,,,,,,,,,,,,,,,,
5137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
5139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
5140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurkeyTurkey,,,,,,,,,,,,,,,,,,
5141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RussiaRussia,,,,,,,,,,,,,,,,,,
5143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlbaniaAlbania,,,,,,,,,,,,,,,,,,
5144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustriaAustria,,,,,,,,,,,,,,,,,,
5145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea RepublicKorea Republic,,,,,,,,,,,,,,,,,,
5146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea RepublicKorea Republic,,,,,,,,,,,,,,,,,,
5147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
5148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustraliaAustralia,,,,,,,,,,,,,,,,,,
5149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
5150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
5151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GhanaGhana,,,,,,,,,,,,,,,,,,
5152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
5154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
5157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
5158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
5159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MexicoMexico,,,,,,,,,,,,,,,,,,
5160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Czech RepublicCzech Republic,,,,,,,,,,,,,,,,,,
5163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United StatesUnited States,,,,,,,,,,,,,,,,,,
5164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ParaguayParaguay,,,,,,,,,,,,,,,,,,
5166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
5167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Costa RicaCosta Rica,,,,,,,,,,,,,,,,,,
5169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United StatesUnited States,,,,,,,,,,,,,,,,,,
5171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CroatiaCroatia,,,,,,,,,,,,,,,,,,
5172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
5173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
5174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
5175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
5176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United StatesUnited States,,,,,,,,,,,,,,,,,,
5177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HondurasHonduras,,,,,,,,,,,,,,,,,,
5178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EcuadorEcuador,,,,,,,,,,,,,,,,,,
5182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UkraineUkraine,,,,,,,,,,,,,,,,,,
5183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
5184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
5188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
5189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustriaAustria,,,,,,,,,,,,,,,,,,
5190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwitzerlandSwitzerland,,,,,,,,,,,,,,,,,,
5192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RussiaRussia,,,,,,,,,,,,,,,,,,
5194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
5196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustriaAustria,,,,,,,,,,,,,,,,,,
5197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SurinameSuriname,,,,,,,,,,,,,,,,,,
5198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
5202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WalesWales,,,,,,,,,,,,,,,,,,
5205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DR CongoDR Congo,,,,,,,,,,,,,,,,,,
5206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustriaAustria,,,,,,,,,,,,,,,,,,
5207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
5209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
5210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PolandPoland,,,,,,,,,,,,,,,,,,
5213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
5214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MaliMali,,,,,,,,,,,,,,,,,,
5215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RussiaRussia,,,,,,,,,,,,,,,,,,
5216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
5218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CameroonCameroon,,,,,,,,,,,,,,,,,,
5219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
5221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Kitts NevisSt Kitts Nevis,,,,,,,,,,,,,,,,,,
5225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
5228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RomaniaRomania,,,,,,,,,,,,,,,,,,
5229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
5230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MexicoMexico,,,,,,,,,,,,,,,,,,
5231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
5232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
5233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi ArabiaSaudi Arabia,,,,,,,,,,,,,,,,,,
5234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DR CongoDR Congo,,,,,,,,,,,,,,,,,,
5235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustriaAustria,,,,,,,,,,,,,,,,,,
5237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trinidad & TobagoTrinidad & Tobago,,,,,,,,,,,,,,,,,,
5238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NorwayNorway,,,,,,,,,,,,,,,,,,
5239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
5240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
5241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bosnia HerzegovinaBosnia Herzegovina,,,,,,,,,,,,,,,,,,
5242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NorwayNorway,,,,,,,,,,,,,,,,,,
5243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
5244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
5245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MexicoMexico,,,,,,,,,,,,,,,,,,
5246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EcuadorEcuador,,,,,,,,,,,,,,,,,,
5247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United StatesUnited States,,,,,,,,,,,,,,,,,,
5248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United StatesUnited States,,,,,,,,,,,,,,,,,,
5250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PolandPoland,,,,,,,,,,,,,,,,,,
5251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TunisiaTunisia,,,,,,,,,,,,,,,,,,
5252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NorwayNorway,,,,,,,,,,,,,,,,,,
5253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IcelandIceland,,,,,,,,,,,,,,,,,,
5254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NorwayNorway,,,,,,,,,,,,,,,,,,
5255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
5256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SenegalSenegal,,,,,,,,,,,,,,,,,,
5257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GhanaGhana,,,,,,,,,,,,,,,,,,
5258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
5259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MontenegroMontenegro,,,,,,,,,,,,,,,,,,
5262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
5263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
5264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
5265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
5266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MaliMali,,,,,,,,,,,,,,,,,,
5267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
5268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
5269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
5270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
5271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScotlandScotland,,,,,,,,,,,,,,,,,,
5272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IcelandIceland,,,,,,,,,,,,,,,,,,
